Quansheng UV-K1 factory firmware — function map
================================================================================

Address          Name                                               Description
------------------------------------------------------------------------------------------------------------------------
BK4829_SetDTMFToneFreqs BK4829_Configure_BK4829_SetDTMFToneFreqs           BK4829 multi-register configuration (8 writes)
BK4829_SetupAM   BK4829_MultiConfig_BK4829_SetupAM                  Multi-register BK4829 config (5 writes)
BK4829_SetupTX   BK4829_SetTone_2                                   Configure tone generator (REG_70/71/72)
BK4829_SetupFM   BK4829_MultiConfig_BK4829_SetupFM                  Multi-register BK4829 config (5 writes)
BK4829_DisableDTMF BK4829_SetDTMF_ENABLE                              Set register DTMF_ENABLE (0x24)
BK4829_Init      BK4829_SetupAGC                                    Configure AGC gain table (REG_10-14, REG_49)
BK4829_SetFilterBandwidth BK4829_SetIF_BW                                    Set register IF_BW (0x43)
BK4829_SetFrequency BK4829_SetFreqRegisters                            Write frequency to REG_FREQ_LOW/HIGH (0x38/39)
BK4829_SetToneFrequency BK4829_SetTX_TONE                                  Set register TX_TONE (0x36)
BK4829_PLLCalibration BK4829_SetTone_4                                   Configure tone generator (REG_70/71/72)
BK4829_EnableDTMF function_BK4829_EnableDTMF                         Unidentified (4 lines, 0 calls)
BK4829_WriteRegister function_BK4829_WriteRegister                      Unidentified (17 lines, 7 calls)
BK4829_ReadRegister function_BK4829_ReadRegister                       Unidentified (36 lines, 12 calls)
BK4829_SwitchJumpTable function_BK4829_SwitchJumpTable                    Unidentified (3 lines, 0 calls)
0x800274c        function_800274c                                   Unidentified (19 lines, 3 calls)
0x8002780        function_8002780                                   Unidentified (17 lines, 2 calls)
0x80027bc        handler_80027bc                                    Event/state handler with switch
0x80028aa        function_80028aa                                   Unidentified (9 lines, 2 calls)
0x80028c0        function_80028c0                                   Unidentified (22 lines, 4 calls)
0x80028e0        function_80028e0                                   Unidentified (7 lines, 2 calls)
0x80028ea        function_80028ea                                   Unidentified (10 lines, 2 calls)
0x8002910        function_8002910                                   Unidentified (4 lines, 1 calls)
0x8002964        function_8002964                                   Unidentified (17 lines, 2 calls)
0x8002998        function_8002998                                   Unidentified (13 lines, 2 calls)
0x80029c8        function_80029c8                                   Unidentified (20 lines, 1 calls)
0x8002c08        function_8002c08                                   Unidentified (12 lines, 1 calls)
0x8002cd4        function_8002cd4                                   Unidentified (20 lines, 7 calls)
0x8002f84        SM_8002f84                                         State machine (3 switch statements)
0x8003510        SM_8003510                                         State machine (2 switch statements)
0x800368c        function_800368c                                   Unidentified (4 lines, 2 calls)
0x80036c0        wrap_BK4829_MultiConfig_800bd3c                    Wrapper around BK4829_MultiConfig_800bd3c
0x8003730        function_8003730                                   Unidentified (17 lines, 3 calls)
0x8003794        function_8003794                                   Unidentified (68 lines, 11 calls)
0x8003850        function_8003850                                   Unidentified (4 lines, 2 calls)
0x80038c8        handler_80038c8                                    Event/state handler with switch
0x8003960        SM_8003960                                         State machine (3 switch statements)
0x8003a2c        handler_8003a2c                                    Event/state handler with switch
0x8003bc4        function_8003bc4                                   Unidentified (67 lines, 5 calls)
0x8003cac        function_8003cac                                   Unidentified (4 lines, 2 calls)
0x8003d24        handler_8003d24                                    Event/state handler with switch
0x8003dbc        SM_8003dbc                                         State machine (2 switch statements)
0x8004038        function_8004038                                   Unidentified (30 lines, 3 calls)
0x80040e0        function_80040e0                                   Unidentified (23 lines, 3 calls)
0x8004148        function_8004148                                   Unidentified (12 lines, 2 calls)
0x80041d8        handler_80041d8                                    Event/state handler with switch
0x80042fc        function_80042fc                                   Unidentified (28 lines, 1 calls)
0x8004368        function_8004368                                   Unidentified (29 lines, 2 calls)
0x80043ec        function_80043ec                                   Unidentified (35 lines, 3 calls)
0x8004474        function_8004474                                   Unidentified (21 lines, 1 calls)
0x80044f4        handler_80044f4                                    Event/state handler with switch
0x80045d4        function_80045d4                                   Unidentified (33 lines, 4 calls)
0x800464c        function_800464c                                   Unidentified (15 lines, 1 calls)
0x8004690        function_8004690                                   Unidentified (168 lines, 7 calls)
0x80049b4        function_80049b4                                   Unidentified (103 lines, 12 calls)
0x8004b60        function_8004b60                                   Unidentified (48 lines, 3 calls)
0x8004c38        function_8004c38                                   Unidentified (73 lines, 8 calls)
0x8004d38        function_8004d38                                   Unidentified (15 lines, 2 calls)
0x8004dd0        function_8004dd0                                   Unidentified (29 lines, 1 calls)
0x8004e54        SM_8004e54                                         State machine (2 switch statements)
0x80050b4        SM_80050b4                                         State machine (3 switch statements)
0x8005230        handler_8005230                                    Event/state handler with switch
0x80052f4        function_80052f4                                   Unidentified (50 lines, 1 calls)
0x80053e8        function_80053e8                                   Unidentified (50 lines, 1 calls)
0x80054b4        SM_80054b4                                         State machine (2 switch statements)
0x8005878        SM_8005878                                         State machine (4 switch statements)
0x8005cc0        handler_8005cc0                                    Event/state handler with switch
0x8006020        function_8006020                                   Unidentified (25 lines, 5 calls)
0x8006058        function_8006058                                   Unidentified (31 lines, 5 calls)
0x80060e0        function_80060e0                                   Unidentified (59 lines, 6 calls)
0x80061e0        handler_80061e0                                    Event/state handler with switch
0x80063a4        handler_80063a4                                    Event/state handler with switch
0x8006454        function_8006454                                   Unidentified (107 lines, 14 calls)
0x8006594        function_8006594                                   Unidentified (19 lines, 5 calls)
0x8006624        function_8006624                                   Unidentified (38 lines, 8 calls)
0x80066e4        handler_80066e4                                    Event/state handler with switch
0x800684c        function_800684c                                   Unidentified (10 lines, 1 calls)
0x8006874        function_8006874                                   Unidentified (10 lines, 2 calls)
0x80068bc        function_80068bc                                   Unidentified (78 lines, 7 calls)
0x8006968        function_8006968                                   Unidentified (8 lines, 2 calls)
0x8006994        function_8006994                                   Unidentified (3 lines, 2 calls)
0x80069ac        SM_80069ac                                         State machine (3 switch statements)
0x8006b30        SM_8006b30                                         State machine (2 switch statements)
0x8006d34        function_8006d34                                   Unidentified (22 lines, 3 calls)
0x8006d90        SM_8006d90                                         State machine (2 switch statements)
